#name	#country	#preliminary	#r1	#2	#3	#finals
Mihyun Ahn	KOR	0	0	0	0	0
Jong Do An	KOR	0	0	0	0	0
Yu An	CHN	0	0	0	0	0
Soo Jung Ann	KOR	1	0	0	0	0
Miyako Arishima	JPN	1	0	0	0	0
Bat-Erdene Batbileg	MGL	0	0	0	0	0
Otis William Beasley	GBR	0	0	0	0	0
Tymoteusz Bies	POL	1	0	0	0	0
Rafał Błaszczyk	POL 	1	0	0	0	0
Łukasz Piotr Byrdy	POL 	1	0	0	0	0
Michelle Candotti	ITA	1	0	0	0	0
Luigi Carroccia	ITA	1	0	0	0	0
Hsin-Jo Chan	TWN	0	0	0	0	0
Haoguo Chen CHN	0	0	0	0	0
Xuan home chen 	CHN	0	0	0	0	0
Galina Chistiakova  	RUS	1	0	0	0	0
Irina Chistiakova  	RUS	1	0	0	0	0
Seong-Jin Cho  	KOR	1	0	0	0	0
Shaun Yung Sheng Choo  	SIN	0	0	0	0	0
Valentin Cotton  	FRA	0	0	0	0	0
Aleksandra Hortensja Dąbek  	POL	0	0	0	0	0
Chisaki Doi  	JPN	0	0	0	0	0
Fei-Fei Dong  	CHN	0	0	0	0	0
Michał Dziewior  	POL	0	0	0	0	0
Thibaud Epp  	FRA	0	0	0	0	0
Martina Frezzotti  	ITA	0	0	0	0	0
Ashley Fripp  	GBR	1	0	0	0	0
Madoka Fukami  	JPN	0	0	0	0	0
Yasuko Furumi  	JPN	1	0	0	0	0
Anton Gerzenberg  	GER	0	0	0	0	0
Saskia Giorgini  	NED, ITA	1	0	0	0	0
Eriko Gomita  	JPN 	0	0	0	0	0
Adam Mikołaj Goździewski  	POL	1	0	0	0	0
Ivett Gyöngyösi  	HUN	1	0	0	0	0
Anna Han  	USA	0	0	0	0	0
Chi Ho Han  	KOR	1	0	0	0	0
Olof Hansen  	FRA	1	0	0	0	0
Minsoo Hong  	KOR	0	0	0	0	0
Ruoyu Huang  	CHN	0	0	0	0	0
Zhi Chao Julian Jia  	CHN	1	0	0	0	0
Wenbin Jin  	CHN	0	0	0	0	0
Aljoša Jurinić  	CRO	1	0	0	0	0
Joo Yeon Ka   	KOR	1	0	0	0	0
Takuya Kambara  	JPN	0	0	0	0	0
Airi Katada  	JPN	0	0	0	0	0
Ruslan Kazakov  	RUS	0	0	0	0	0
Daye Kim  	KOR	0	0	0	0	0
Honggi Kim  	KOR	1	0	0	0	0
Su Yeon Kim  	KOR	1	0	0	0	0
Sung-Jae Kim  	KOR	0	0	0	0	0
Sunhwa Kim  	KOR	0	0	0	0	0
Yedam Kim  	KOR	1	0	0	0	0
Yoon-Jee Kim  	KOR	0	0	0	0	0
