Etude in C major, Op. 10 No. 1 
Etude in C sharp minor, Op. 10 No. 4 
Etude in G flat major, Op. 10 No. 5 
Etude in F major, Op. 10 No. 8 
Etude in C minor, Op. 10 No. 12 
Etude in A minor, Op. 25 No. 11 
Etude in A minor, Op. 10 No. 2 
Etude in C major 0p.10 No. 7 
Etude in A flat major, Op. 10 No. 10 
Etude in E flat major, Op. 10 No. 11 
Etude in A minor, Op. 25 No. 4 
Etude in E minor, Op. 25 No. 5 
Etude in G sharp minor, Op. 25 No. 6 
Etude in B minor, Op. 25 No. 10 
Nocturne in B major, Op. 9 No. 3 
Nocturne in C sharp minor, Op. 27 No. 1 
Nocturne in D flat major, Op. 27 No. 2 
Nocturne in G major, Op. 37 No. 2 
Nocturne in C minor, Op. 48 No. 1 
Nocturne in F sharp minor, Op. 48 No. 2 
Nocturne in E flat major, Op. 55 No. 2 
Nocturne in B major, Op. 62 No. 1 
Nocturne in E major, Op. 62 No. 2 
Etude in E major, Op. 10 No. 3 
Etude in E flat minor, Op. 10 No. 6 
Etude in C sharp minor, Op. 25 No. 7 
Ballade in G minor, Op. 23 
Ballade in F major, Op. 38 
Ballade in A flat major, Op. 47 
Ballade in F minor, Op. 52 
Barcarole in F sharp major, Op. 60 
Fantasia in F minor, Op. 49 
Scherzo in B minor, Op. 20 
Scherzo in B flat minor, Op. 31 
Scherzo in C sharp minor, Op. 39 
Scherzo in E major, Op. 54 
