#number	#name_surname	#country	#age	#preliminary	#recital-1	#recital-2	#recital-3	#finals
01	Soo Jung Ann	30:50
02	Miyako Arishima	29:38
03	Tymoteusz Bies	32:46
04	Rafal Blaszczyk	28:39
05	Lukasz Piotr Byrdy	33:28
06	Michelle Candotti	29:51
07	Luigi Carroccia	34:27
08	Galina Chistiakova	31:16
09	Irina Chistiakova	34:39
10	Seong Jin Cho	35:53
11	Ashley Fripp	27:37
12	Yasuko Furumi	28:36
13	Saskia Giorgini	31:23
14	Katarzyna Golofit	27:40
15	Adam Mikolaj Goździewski	31:21
16	Ivett Gyöngyösi	30:30
17	Chi Ho Han	29:11
18	Olof Hansen	29:33
19	Zhi Chao Julian Jia	32:28
20	Aljoša Jurinić	28:40
21	Joo Yeon Ka	26:27
22	Honggi Kim	34:04
23	Su Yeon Kim	30:36
24	Yedam Kim	27:16
25	Yurika Kimura	33:54
26	Aimi Kobayashi	31:43
27	Qi Kong	30:03
28	Marek Kozak	25:11
29	George Li	29:35
30	Ning Yuen Li	31:52
31	Kate Liu	33:26
32	Tian Lu	29:54
33	Xin Luo	34:24
34	Roman Martynov	26:13
35	Nagino Maruyama	28:16
36	Vladimir Matusevich	28:34
37	Nao Mieno	32:19
38	Lukasz Mikolajczyk	32:34
39	Paweł Motyczynski	30:54
40	Alexia Mouza	29:28
41	Jiyeong Mun	33:04
42	Mayaka Nakagawa	29:53
43	Szymon Nehring	35:11
44	Anastasiia Nesterova	34:31
45	Ronald Noerjadi	43:55
46	Mariko Nogami	27:54
47	Piotr Nowak	31:17
48	Arisa Onoda	29:43
49	Georgijs Osokins	28:49
50	Jinhyung Park	32:09
51	Piotr Ryszard Pawlak	29:57
52	Zuzanna Pietrzak	33:50
53	Tiffany Poon	34:42
54	Kausikan Rajeshkumar	27:59
55	Charles Richard Hamelin	28:03
56	Tamila Salindianova	26:50
57	Cristian Ioan Sandrin	29:32
58	Natalie Schwamova	32:43
59	Aristo Chingtoa Sham	23:38
60	Boyang Shi	29:36
61	Dmitry Shishkin	27:29
62	Rina Sudo	32:28
63	Michal Szymanowski	31:52
64	Rikono Takeda	33:04
65	Arseny Tarasevich Nikolaev	28:08
66	Alexei Tartakovsky	29:49
67	Hin Yat Tsang	30:42
68	Alexander Ullman	29:30
69	Chao Wang	26:59
70	Zhu Wang	28:27
71	Yuchong Wu	28:39
72	Zi Xu	29:13
73	Yike (Tony) Yang	31:42
74	Yuliya Yermalayeva	32:13
75	Cheng Zhang	35:12
76	Chuhan Zhang	30:04
77	Annie Zhou	31:41 
